Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Global,2023,All ages,Both,All causes,Percent of total DALYs,1,1,1
All Population,Global,1990 - 2023,All ages,Both,All causes,DALYs annual % change,-0.01189023249617832,,
All Population,Global,2023,All ages,Both,"Communicable, maternal, neonatal, and nutritional diseases",Percent of total DALYs,0.2436826964261842,0.22868475810535177,0.259723872995963
All Population,Global,1990 - 2023,All ages,Both,"Communicable, maternal, neonatal, and nutritional diseases",DALYs annual % change,-0.03193518401341906,,
All Population,Global,2023,All ages,Both,Tuberculosis,Percent of total DALYs,0.015608776773331329,0.012723249245800063,0.019453297330714596
All Population,Global,1990 - 2023,All ages,Both,Tuberculosis,DALYs annual % change,-0.03339751820205711,,
All Population,Global,2023,All ages,Both,HIV/AIDS,Percent of total DALYs,0.016142804430253847,0.014121672261815208,0.01894733490821775
All Population,Global,1990 - 2023,All ages,Both,HIV/AIDS,DALYs annual % change,0.01008586083558299,,
All Population,Global,2023,All ages,Both,HIV/AIDS resulting in other diseases,Percent of total DALYs,0.012216592681874416,0.010310763025698623,0.015024332542139527
All Population,Global,1990 - 2023,All ages,Both,HIV/AIDS resulting in other diseases,DALYs annual % change,0.015136990867915387,,
All Population,Global,2023,All ages,Both,Diarrheal diseases,Percent of total DALYs,0.0202042210706484,0.015573410355498103,0.026927833275759802
All Population,Global,1990 - 2023,All ages,Both,Diarrheal diseases,DALYs annual % change,-0.053453883339736434,,
All Population,Global,2023,All ages,Both,Typhoid fever,Percent of total DALYs,0.0019376698136291434,0.0009728063842975577,0.0031712116630513753
All Population,Global,1990 - 2023,All ages,Both,Typhoid fever,DALYs annual % change,-0.05509730271835922,,
All Population,Global,2023,All ages,Both,Paratyphoid fever,Percent of total DALYs,0.0002887439912494343,0.0001359296435278635,0.0005511795684250571
All Population,Global,1990 - 2023,All ages,Both,Paratyphoid fever,DALYs annual % change,-0.060645300897162024,,
All Population,Global,2023,All ages,Both,Other intestinal infectious diseases,Percent of total DALYs,0.00003404665566752972,0.000025609327503474953,0.0000428606330917346
All Population,Global,1990 - 2023,All ages,Both,Other intestinal infectious diseases,DALYs annual % change,-0.013728544185875352,,
All Population,Global,2023,All ages,Both,Lower respiratory infections,Percent of total DALYs,0.035343331382516864,0.029982364425992742,0.04162422700254147
All Population,Global,1990 - 2023,All ages,Both,Lower respiratory infections,DALYs annual % change,-0.03428144477659587,,
All Population,Global,2023,All ages,Both,Upper respiratory infections,Percent of total DALYs,0.0022320368628006093,0.001394333333146872,0.0036797758621455387
All Population,Global,1990 - 2023,All ages,Both,Upper respiratory infections,DALYs annual % change,-0.012321369764786384,,
All Population,Global,2023,All ages,Both,Otitis media,Percent of total DALYs,0.0008904349124175157,0.0005688622381294006,0.0013728644614812544
All Population,Global,1990 - 2023,All ages,Both,Otitis media,DALYs annual % change,-0.0073228691922785005,,
All Population,Global,2023,All ages,Both,Meningitis,Percent of total DALYs,0.006254110367460555,0.004865439044421636,0.008362560455451414
All Population,Global,1990 - 2023,All ages,Both,Meningitis,DALYs annual % change,-0.03488580740644248,,
All Population,Global,2023,All ages,Both,Encephalitis,Percent of total DALYs,0.001529863689193525,0.0011052983255070339,0.0022619385174030087
All Population,Global,1990 - 2023,All ages,Both,Encephalitis,DALYs annual % change,-0.02127375775466775,,
All Population,Global,2023,All ages,Both,Diphtheria,Percent of total DALYs,0.00011806295534986937,0.00008449884007705069,0.00015536545904707628
All Population,Global,1990 - 2023,All ages,Both,Diphtheria,DALYs annual % change,-0.0838569117460819,,
All Population,Global,2023,All ages,Both,Pertussis,Percent of total DALYs,0.0036291730285946755,0.0020981389144094816,0.006154799816876616
All Population,Global,1990 - 2023,All ages,Both,Pertussis,DALYs annual % change,-0.03953116916332085,,
All Population,Global,2023,All ages,Both,Tetanus,Percent of total DALYs,0.0004451057500652367,0.00026086343080362434,0.0007046128942584128
All Population,Global,1990 - 2023,All ages,Both,Tetanus,DALYs annual % change,-0.10179464185460284,,
All Population,Global,2023,All ages,Both,Measles,Percent of total DALYs,0.004463354932798097,0.0018778942691499365,0.00807387369404227
All Population,Global,1990 - 2023,All ages,Both,Measles,DALYs annual % change,-0.07426793829184591,,
All Population,Global,2023,All ages,Both,Varicella and herpes zoster,Percent of total DALYs,0.00029567534384215534,0.0002561108825309559,0.00033092388606430136
All Population,Global,1990 - 2023,All ages,Both,Varicella and herpes zoster,DALYs annual % change,-0.021741970413513657,,
All Population,Global,2023,All ages,Both,Neglected tropical diseases and malaria,Percent of total DALYs,0.025353340134437675,0.014325040610513817,0.039758675373080116
All Population,Global,1990 - 2023,All ages,Both,Neglected tropical diseases and malaria,DALYs annual % change,-0.02290669354742727,,
All Population,Global,2023,All ages,Both,Malaria,Percent of total DALYs,0.018494010205932873,0.00752149670638263,0.03329554892509721
All Population,Global,1990 - 2023,All ages,Both,Malaria,DALYs annual % change,-0.019400116690431794,,
All Population,Global,2023,All ages,Both,Chagas disease,Percent of total DALYs,0.00010193632036816968,0.00009198646237523399,0.00011253484075032439
All Population,Global,1990 - 2023,All ages,Both,Chagas disease,DALYs annual % change,-0.029447823087041403,,
All Population,Global,2023,All ages,Both,Leishmaniasis,Percent of total DALYs,0.0003870680080465169,0.0002949370492537712,0.0005165399920019989
All Population,Global,1990 - 2023,All ages,Both,Leishmaniasis,DALYs annual % change,-0.06537305439507707,,
All Population,Global,2023,All ages,Both,Visceral leishmaniasis,Percent of total DALYs,0.00011910602941139126,0.00004915407574814884,0.0002197273912511778
All Population,Global,1990 - 2023,All ages,Both,Visceral leishmaniasis,DALYs annual % change,-0.09819053611794946,,
All Population,Global,2023,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,Percent of total DALYs,0.0002679619786351257,0.00019177181736838676,0.00037577713211600064
All Population,Global,1990 - 2023,All ages,Both,Cutaneous and mucocutaneous leishmaniasis,DALYs annual % change,-0.005582258080561393,,
All Population,Global,2023,All ages,Both,African trypanosomiasis,Percent of total DALYs,0.00003041598927484721,0.000014413376536400393,0.00005366156941409053
All Population,Global,1990 - 2023,All ages,Both,African trypanosomiasis,DALYs annual % change,-0.09934243982331359,,
All Population,Global,2023,All ages,Both,Schistosomiasis,Percent of total DALYs,0.0007376499154616949,0.0004746694474166327,0.0011476118304316748
All Population,Global,1990 - 2023,All ages,Both,Schistosomiasis,DALYs annual % change,-0.013275453341617173,,
All Population,Global,2023,All ages,Both,Cysticercosis,Percent of total DALYs,0.00042194484213355576,0.00028674810106939995,0.0006003412306221813
All Population,Global,1990 - 2023,All ages,Both,Cysticercosis,DALYs annual % change,-0.010704727073538069,,
All Population,Global,2023,All ages,Both,Cystic echinococcosis,Percent of total DALYs,0.000034644784524592326,0.000026713561152828082,0.000042631270033581086
All Population,Global,1990 - 2023,All ages,Both,Cystic echinococcosis,DALYs annual % change,-0.04919280178393608,,
All Population,Global,2023,All ages,Both,Lymphatic filariasis,Percent of total DALYs,0.0005304384501075936,0.00032286442993989886,0.0008051654706726086
