dataset,dataset_title,panel,method_pair,line_name,alpha,y_normalized,y_raw,pg_sigma_used,pg_sigma_plotted
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.0,0.17932550757339125,0.7516255974769592,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.02,0.4804635962303296,0.7544581294059753,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.04,0.6160397379502739,0.7557333707809448,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.06,0.7899789533777455,0.7573694586753845,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.08,0.5226414321400258,0.7548548579216003,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.1,0.5723537402397202,0.7553224563598633,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.12,0.9999999893685898,0.7593449354171753,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.14,0.37051986831067385,0.7534239888191223,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.16,0.6714234948389074,0.7562543153762817,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.18,0.640544198807064,0.7559638619422913,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.2,0.7530226524424467,0.7570218443870544,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.22,0.18013661980242385,0.7516332268714905,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.24,0.6178077091369935,0.7557500004768372,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.26,0.4276969436431841,0.7539618015289307,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.28,0.5744829098409309,0.7553424835205078,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.3,0.7444933004090256,0.7569416165351868,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.32,0.536404992776423,0.7549843192100525,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.34,0.8836180581309877,0.7582502365112305,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.36,0.5080984433460425,0.7547180652618408,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.38,0.5996844202695459,0.7555795311927795,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.4,0.366489654422668,0.7533860802650452,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.42,0.7458937363669648,0.7569547891616821,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.44,0.561365704262044,0.7552191019058228,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.46,0.5939749505948709,0.7555258274078369,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.48,0.5309680061161888,0.7549331784248352,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.5,0.5388890239778354,0.7550076842308044,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.52,0.3989975117268659,0.7536918520927429,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.54,0.4306562359162953,0.7539896368980408,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.56,0.5402767863071959,0.7550207376480103,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.58,0.36529833333627637,0.7533748745918274,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.6,0.5619233439195039,0.755224347114563,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.62,0.7081706809026587,0.7565999627113342,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.64,0.5014067674565234,0.754655122756958,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.66,0.2683894324097464,0.7524633407592773,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.68,0.629898350801011,0.7558637261390686,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.7000000000000001,0.36814989976646917,0.7534016966819763,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.72,0.5888928255348385,0.755478024482727,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.74,0.4589311012752293,0.7542555928230286,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.76,0.0,0.7499388456344604,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.78,0.5047082477012577,0.754686176776886,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.8,0.5502762792557386,0.7551147937774658,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.8200000000000001,0.2988821827699414,0.7527501583099365,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.84,0.3216059988114333,0.7529639005661011,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.86,0.5004182244273898,0.754645824432373,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.88,0.4212397298823698,0.7539010643959045,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.9,0.5031303809432177,0.7546713352203369,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.92,0.6253802022127277,0.7558212280273438,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.94,0.19323481493844277,0.7517564296722412,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.96,0.90383249571391,0.758440375328064,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,0.98,0.7201345862808898,0.7567124962806702,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,PG loss,1.0,0.38975209967875196,0.7536048889160156,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.0,0.09630979911808661,0.39390480518341064,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.02,0.21692124962096018,0.4002857208251953,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.04,0.0,0.38880956172943115,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.06,0.4653456413847768,0.41342854499816895,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.08,0.4680473270602853,0.41357147693634033,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.1,0.5787578544120459,0.41942858695983887,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.12,0.6696665354615804,0.42423808574676514,0.08,0.1
MA,Massachusetts Fatal Overdoses,DPO_to_PG,BPR_to_PG,Regret,0.14,0.6696665354615804,0.42423808574676514,0.08,0.1
